chrom	start	end	score
chr3	27175826	27175893	1
chr3	27175828	27175893	1
chr3	27175829	27175893	8
chr3	27175829	27175896	4
chr3	27175829	27175898	2
chr3	27175829	27175906	1
chr3	27175829	27175910	1
chr3	27175836	27175915	6
chr3	27175871	27175916	1
chr3	27175887	27176321	1
chr3	27175893	27175916	1
chr3	27175893	27175944	4
chr3	27175893	27176060	1
chr3	27175893	27176118	1
chr3	27175896	27176123	5
chr3	27175898	27175930	1
chr3	27175898	27175942	2
chr3	27175898	27175976	3
chr3	27175901	27175949	1
chr3	27175906	27176094	4
chr3	27175908	27176026	1
chr3	27175908	27176133	1
chr3	27175915	27176094	1
chr3	27175928	27176113	1
chr3	27175928	27176132	5
chr3	27175943	27176123	2
chr3	27175947	27176050	2
chr3	27177374	27177582	3
chr3	27177798	27178026	2
chr3	27179606	27179815	1
chr3	27180897	27181077	1
chr3	27181046	27181100	1
chr3	27183341	27183382	2
chr3	27184762	27184926	2
chr3	27187631	27187979	3
chr3	27187979	27188236	2
chr3	27188371	27188413	1
chr3	27191136	27191305	1
chr3	27196278	27196507	1
chr3	27202673	27203100	1
chr3	27205259	27205473	4
chr3	27208181	27208346	2
chr3	27208475	27208542	1
chr3	27208507	27208627	1
chr3	27208566	27208874	3
chr3	27211695	27211792	1
chr3	27211988	27212317	1
chr3	27212705	27212908	1
chr3	27212764	27212947	1
chr3	27212794	27212842	2
chr3	27212822	27213254	1
chr3	27212879	27212924	2
chr3	27214306	27214798	1
chr3	27217298	27217480	1
chr3	27217480	27217882	1
chr3	27217835	27218018	4
chr3	27218448	27219411	1
chr3	27220142	27220341	3
chr3	27221977	27222171	1
chr3	27225712	27225880	1
chr3	27225888	27226004	2
chr3	27226085	27226348	3
chr3	27230400	27231053	1
chr3	27231757	27232182	1
chr3	27234697	27234748	2
chr3	27234975	27235030	3
chr3	27235939	27236567	1
chr3	27238032	27238252	1
chr3	27238305	27238473	1
chr3	27242406	27242460	2
chr3	27243534	27243731	1
chr3	27244824	27244980	3
chr3	27248310	27248561	1
chr3	27248683	27248878	1
chr3	27250465	27250556	2
chr3	27251740	27252137	2
chr3	27252788	27253228	3
chr3	27260484	27260880	1
chr3	27261778	27261956	2
chr3	27263352	27263966	1
chr3	27263367	27263414	3
chr3	27263377	27263813	3
chr3	27263414	27263758	1
chr3	27263777	27263813	1
chr3	27264627	27265048	3
chr3	27265050	27265147	2
chr3	27265121	27265159	3
chr3	27265129	27265348	6
chr3	27265270	27265332	2
chr3	27265526	27265632	1
chr3	27266003	27266050	2
chr3	27266997	27267415	1
chr3	27267079	27267442	1
chr3	27272933	27273398	1
chr3	27283237	27283422	1
chr3	27283778	27283845	1
chr3	27284039	27284229	5
chr3	27285059	27285123	1
chr3	27285123	27285266	7
chr3	27285994	27286190	1
chr3	27286354	27286631	1
chr3	27286659	27286872	1
chr3	27289236	27289268	1
chr3	27290412	27290580	1
chr3	27293740	27294186	1
chr3	27293993	27294160	3
chr3	27294060	27294284	1
chr3	27295345	27295591	7
chr3	27295439	27295463	1
chr3	27295460	27295585	3
chr3	27295463	27295585	1
chr3	27295469	27295551	4
chr3	27295477	27295553	3
chr3	27295506	27295601	3
chr3	27295509	27295586	1
chr3	27295581	27295614	1
chr3	27295600	27295767	2
chr3	27300202	27300257	2
chr3	27305092	27305260	2
chr3	27306978	27307187	1
chr3	27308374	27308552	1
chr3	27315863	27316025	1
chr3	27316431	27316475	1
chr3	27316954	27317046	5
chr3	27318807	27319012	2
chr3	27318820	27319213	2
chr3	27318901	27319144	1
chr3	27319022	27319165	4
chr3	27319076	27319126	1
chr3	27322024	27322176	2
chr3	27322984	27323263	1
chr3	27324787	27325167	1
chr3	27326671	27326819	2
chr3	27328112	27328154	1
chr3	27335413	27335615	2
chr3	27335928	27336162	1
chr3	27336036	27336515	1
chr3	27336280	27336630	1
chr3	27336388	27336562	3
chr3	27336428	27336503	1
chr3	27336919	27337502	1
chr3	27337317	27337484	4
chr3	27341737	27342166	2
chr3	27344613	27344894	2
chr3	27345990	27346036	1
chr3	27346364	27346583	4
chr3	27346496	27346553	1
chr3	27347614	27347693	2
chr3	27347914	27348137	1
chr3	27349080	27349297	1
chr3	27349297	27349517	3
chr3	27351126	27351181	2
chr3	27351805	27352029	2
chr3	27351910	27352287	1
chr3	27352320	27352398	1
chr3	27353393	27353694	1
chr3	27353519	27353803	4
chr3	27353539	27353817	2
chr3	27353544	27353664	2
chr3	27353547	27353796	1
chr3	27353664	27353697	3
chr3	27353682	27353722	2
chr3	27353689	27353796	1
chr3	27353699	27353813	1
chr3	27353707	27353808	1
chr3	27353712	27353791	1
chr3	27353715	27353786	1
chr3	27353720	27353761	1
chr3	27353720	27353794	1
chr3	27353720	27353796	1
chr3	27353722	27353817	2
chr3	27353722	27353914	1
chr3	27353724	27353786	3
chr3	27353724	27353813	2
chr3	27353724	27353832	1
chr3	27353724	27354063	2
chr3	27353730	27353809	2
chr3	27353784	27353990	1
chr3	27353794	27353817	1
chr3	27353803	27353851	1
chr3	27353803	27354007	1
chr3	27353804	27353871	3
chr3	27353813	27353859	9
chr3	27353824	27353872	2
chr3	27353825	27353879	2
chr3	27353861	27353932	1
chr3	27354060	27354261	1
chr3	27358315	27358491	1
chr3	27358647	27358838	3
chr3	27360037	27360089	2
chr3	27360047	27360110	2
chr3	27360222	27360870	1
chr3	27362045	27362229	1
chr3	27362703	27362790	1
chr3	27363984	27364115	2
chr3	27364754	27364822	2
chr3	27364827	27365023	3
chr3	27365150	27365239	1
chr3	27365427	27365649	2
chr3	27365428	27365490	2
chr3	27366304	27366860	1
chr3	27366537	27366900	1
chr3	27366638	27366842	3
chr3	27366857	27367102	1
chr3	27367048	27367139	2
chr3	27367133	27367765	1
chr3	27367285	27367528	1
chr3	27368817	27369200	2
chr3	27369068	27369254	2
chr3	27370033	27370242	1
chr3	27370448	27370657	1
chr3	27372524	27372845	1
chr3	27374492	27374968	1
chr3	27376272	27376522	3
chr3	27378097	27378564	1
chr3	27379722	27379883	1
chr3	27379806	27380206	1
chr3	27379883	27380006	1
chr3	27380041	27380181	2
chr3	27381387	27381622	1
chr3	27381656	27381813	1
chr3	27381821	27382040	2
chr3	27381895	27382156	4
chr3	27381942	27382261	1
chr3	27381957	27382212	2
chr3	27382108	27382194	1
chr3	27382115	27382176	6
chr3	27382118	27382238	3
chr3	27382120	27382171	1
chr3	27382136	27382210	5
chr3	27382162	27382258	2
chr3	27382166	27382369	1
chr3	27382202	27382264	3
chr3	27382213	27382238	1
chr3	27382216	27382261	1
chr3	27382221	27382407	2
chr3	27382256	27382448	2
chr3	27382264	27382335	2
chr3	27382271	27382332	2
chr3	27386669	27386747	3
chr3	27386778	27386960	1
chr3	27386893	27387124	1
chr3	27386993	27387219	1
chr3	27387028	27387073	2
chr3	27387036	27387150	1
chr3	27387048	27387137	3
chr3	27387073	27387104	2
chr3	27387101	27387184	4
chr3	27387101	27387233	1
chr3	27387104	27387221	1
chr3	27387122	27387264	3
chr3	27387141	27387196	3
chr3	27387144	27387211	1
chr3	27387144	27387216	2
chr3	27387144	27387350	2
chr3	27387154	27387192	2
chr3	27387154	27387290	3
chr3	27387156	27387203	2
chr3	27387157	27387203	1
chr3	27387157	27387251	1
chr3	27387158	27387211	2
chr3	27387161	27387208	2
chr3	27387164	27387264	2
chr3	27387179	27387216	3
chr3	27387198	27387264	5
chr3	27387203	27387346	3
chr3	27387216	27387381	3
chr3	27387232	27387290	2
chr3	27387238	27387303	1
chr3	27387308	27387351	1
chr3	27387341	27387724	2
chr3	27387377	27387826	3
chr3	27387724	27387928	1
chr3	27387892	27388020	1
chr3	27388113	27388135	1
chr3	27388514	27388956	1
chr3	27389947	27390115	1
chr3	27389977	27390185	1
chr3	27390019	27390230	2
chr3	27390225	27390416	4
chr3	27390406	27391230	1
chr3	27390913	27391263	2
chr3	27390982	27391225	5
chr3	27391199	27391263	1
chr3	27391223	27391403	3
chr3	27391226	27391616	1
chr3	27391233	27391502	1
chr3	27391235	27391500	2
chr3	27391342	27391419	1
chr3	27391363	27391651	3
chr3	27391365	27391419	4
chr3	27391486	27391748	3
chr3	27391489	27391743	1
chr3	27391494	27391712	2
chr3	27391522	27391616	2
chr3	27391542	27391832	2
chr3	27391617	27392029	1
chr3	27391651	27391842	1
chr3	27391696	27391915	2
chr3	27392390	27392637	1
chr3	27392637	27392873	1
chr3	27395866	27395912	4
chr3	27395876	27396387	1
chr3	27396281	27396493	2
chr3	27396539	27396915	3
chr3	27396692	27397011	2
chr3	27397010	27397292	2
chr3	27397275	27397465	2
chr3	27397292	27397878	1
chr3	27398200	27398421	3
chr3	27398362	27398537	2
chr3	27398528	27399310	1
chr3	27398903	27399309	2
chr3	27398951	27399329	1
chr3	27399045	27399411	2
chr3	27399070	27399118	1
chr3	27399070	27399158	6
chr3	27399095	27399290	1
chr3	27399099	27399318	5
chr3	27399104	27399298	1
chr3	27399108	27399298	3
chr3	27399111	27399291	4
chr3	27399111	27399304	1
chr3	27399113	27399319	1
chr3	27399164	27399616	2
chr3	27399283	27399347	2
chr3	27399288	27399349	1
chr3	27399291	27399381	2
chr3	27399291	27399386	2
chr3	27399291	27399392	2
chr3	27399291	27399399	1
chr3	27399294	27399386	1
chr3	27399296	27399329	1
chr3	27399296	27399351	1
chr3	27399296	27399375	5
chr3	27399296	27399398	2
chr3	27399296	27399776	1
chr3	27399298	27399329	1
chr3	27399298	27399379	3
chr3	27399298	27399386	2
chr3	27399298	27399398	1
chr3	27399298	27399420	1
chr3	27399301	27399365	4
chr3	27399303	27399340	2
chr3	27399303	27399349	7
chr3	27399303	27399365	1
chr3	27399303	27399389	6
chr3	27399303	27399390	2
chr3	27399303	27399400	3
chr3	27399303	27399541	3
chr3	27399308	27399736	2
chr3	27399310	27399420	1
chr3	27399310	27399450	4
chr3	27399310	27399628	2
chr3	27399312	27399410	1
chr3	27399314	27399389	1
chr3	27399314	27399406	1
chr3	27399318	27399387	1
chr3	27399318	27399522	1
chr3	27399323	27399400	2
chr3	27399324	27399400	5
chr3	27399324	27399698	1
chr3	27399329	27399386	2
chr3	27399329	27399406	1
chr3	27399332	27399390	3
chr3	27399334	27399401	1
chr3	27399340	27399371	1
chr3	27399340	27399386	1
chr3	27399355	27399603	2
chr3	27399359	27399406	1
chr3	27399359	27399420	3
chr3	27399364	27399386	1
chr3	27399381	27399541	2
chr3	27399384	27399437	1
chr3	27399400	27399958	1
chr3	27399406	27399623	2
chr3	27399412	27399812	3
chr3	27399532	27399712	1
chr3	27399538	27399790	4
chr3	27399825	27400002	1
chr3	27400101	27400473	1
chr3	27400326	27400850	1
chr3	27400375	27400791	1
chr3	27400423	27400776	1
chr3	27400461	27400762	1
chr3	27400473	27400568	2
chr3	27400630	27400858	1
chr3	27400638	27400868	10
chr3	27400641	27400840	1
chr3	27400642	27400846	1
chr3	27400642	27401238	2
chr3	27400646	27400868	1
chr3	27400654	27400823	2
chr3	27400655	27400989	1
chr3	27400659	27400933	3
chr3	27400661	27400858	1
chr3	27400744	27400849	2
chr3	27400773	27400863	1
chr3	27400791	27400849	1
chr3	27400808	27400914	2
chr3	27400823	27400868	2
chr3	27400825	27400907	4
chr3	27400825	27400984	3
chr3	27400825	27401143	2
chr3	27400826	27400891	1
chr3	27400832	27400931	4
chr3	27400835	27400906	1
chr3	27400849	27400894	2
chr3	27400849	27400901	1
chr3	27400858	27400944	2
chr3	27400863	27400926	1
chr3	27400863	27400958	3
chr3	27400868	27401089	3
chr3	27400868	27401115	2
chr3	27400876	27401125	3
chr3	27400880	27400942	1
chr3	27400886	27401114	1
chr3	27401010	27401803	1
chr3	27401183	27401238	1
chr3	27401574	27401609	2
chr3	27401576	27401794	2
chr3	27402375	27402749	1
chr3	27403113	27403724	2
chr3	27404571	27404743	1
chr3	27404602	27404743	1
chr3	27406328	27406546	1
chr3	27406330	27406487	4
chr3	27406475	27406507	1
chr3	27406546	27406725	2
chr3	27407701	27408194	1
chr3	27409571	27409760	2
chr3	27410089	27410600	3
chr3	27410091	27410154	1
chr3	27410116	27410290	2
chr3	27410126	27410282	1
chr3	27410137	27410336	2
chr3	27410145	27410898	2
chr3	27410209	27410551	1
chr3	27410217	27410254	7
chr3	27410217	27410503	5
chr3	27410219	27410937	1
chr3	27410239	27410632	2
chr3	27410241	27410572	3
chr3	27410248	27410553	5
chr3	27410271	27410577	1
chr3	27410276	27410307	2
chr3	27410276	27410327	1
chr3	27410276	27410497	5
chr3	27410282	27410974	1
chr3	27410290	27410513	1
chr3	27410292	27410341	1
chr3	27410295	27410350	2
chr3	27410295	27410364	2
chr3	27410295	27410988	1
chr3	27410297	27410551	1
chr3	27410300	27410429	1
chr3	27410300	27410838	4
chr3	27410302	27410565	3
chr3	27410305	27410520	1
chr3	27410305	27410557	1
chr3	27410308	27410366	1
chr3	27410322	27410680	2
chr3	27410322	27410686	4
chr3	27410323	27410492	1
chr3	27410323	27410555	3
chr3	27410323	27410716	4
chr3	27410331	27410405	1
chr3	27410334	27410562	1
chr3	27410334	27410884	1
chr3	27410335	27410755	1
chr3	27410336	27410531	1
chr3	27410336	27410551	4
chr3	27410336	27410626	4
chr3	27410337	27410370	1
chr3	27410339	27410782	1
chr3	27410339	27410932	1
chr3	27410341	27410580	1
chr3	27410341	27411067	1
chr3	27410343	27410501	2
chr3	27410343	27410543	1
chr3	27410343	27410557	1
chr3	27410353	27410746	1
chr3	27410355	27410909	1
chr3	27410363	27410565	1
chr3	27410364	27410435	2
chr3	27410364	27410937	2
chr3	27410400	27410474	1
chr3	27410400	27410910	1
chr3	27410419	27410692	1
chr3	27410421	27410490	1
chr3	27410426	27410513	4
chr3	27410430	27410927	1
chr3	27410440	27410483	1
chr3	27410440	27410687	3
chr3	27410440	27411087	1
chr3	27410457	27410965	2
chr3	27410476	27410885	1
chr3	27410477	27410541	2
chr3	27410477	27410890	1
chr3	27410478	27411068	1
chr3	27410480	27410708	2
chr3	27410481	27410554	2
chr3	27410490	27410585	3
chr3	27410490	27410724	2
chr3	27410492	27411068	1
chr3	27410494	27410658	1
chr3	27410494	27410838	3
chr3	27410498	27410578	3
chr3	27410498	27410937	1
chr3	27410499	27410584	2
chr3	27410501	27410527	1
chr3	27410503	27410669	1
chr3	27410508	27410543	4
chr3	27410508	27410659	2
chr3	27410508	27410669	7
chr3	27410513	27410577	4
chr3	27410513	27410580	5
chr3	27410513	27410899	1
chr3	27410513	27410905	2
chr3	27410513	27410974	1
chr3	27410513	27410979	2
chr3	27410518	27410751	1
chr3	27410518	27410860	1
chr3	27410518	27410974	3
chr3	27410520	27410725	1
chr3	27410522	27410922	2
chr3	27410522	27410937	2
chr3	27410527	27410555	1
chr3	27410527	27410596	1
chr3	27410528	27410708	5
chr3	27410541	27410575	4
chr3	27410541	27410927	5
chr3	27410541	27410946	2
chr3	27410543	27410736	3
chr3	27410543	27410882	2
chr3	27410543	27410917	2
chr3	27410543	27410927	1
chr3	27410543	27410942	3
chr3	27410543	27410997	1
chr3	27410543	27411035	4
chr3	27410543	27411137	1
chr3	27410547	27410580	1
chr3	27410547	27410927	3
chr3	27410547	27411068	2
chr3	27410551	27410578	1
chr3	27410551	27410706	4
chr3	27410551	27411041	2
chr3	27410555	27410703	4
chr3	27410555	27410910	2
chr3	27410555	27410946	1
chr3	27410557	27410741	1
chr3	27410557	27410927	1
chr3	27410557	27410932	2
chr3	27410557	27411017	2
chr3	27410559	27410917	1
chr3	27410559	27410975	1
chr3	27410562	27410746	5
chr3	27410562	27410777	1
chr3	27410562	27410909	2
chr3	27410562	27410979	3
chr3	27410565	27410922	2
chr3	27410567	27410611	2
chr3	27410567	27410708	3
chr3	27410567	27410937	2
chr3	27410567	27410984	1
chr3	27410575	27411081	1
chr3	27410577	27410965	1
chr3	27410577	27411007	2
chr3	27410578	27410606	1
chr3	27410578	27410853	1
chr3	27410578	27410927	1
chr3	27410578	27410975	4
chr3	27410578	27411007	4
chr3	27410580	27410665	1
chr3	27410580	27410992	1
chr3	27410580	27410997	2
chr3	27410580	27411012	1
chr3	27410580	27411036	2
chr3	27410585	27411057	2
chr3	27410592	27410655	2
chr3	27410592	27410965	1
chr3	27410596	27410641	2
chr3	27410597	27410788	1
chr3	27410597	27410959	1
chr3	27410597	27410992	3
chr3	27410601	27410676	2
chr3	27410606	27410937	2
chr3	27410614	27410827	5
chr3	27410629	27411197	1
chr3	27410631	27411017	3
chr3	27410631	27411110	2
chr3	27410632	27410690	1
chr3	27410632	27410833	2
chr3	27410632	27410932	1
chr3	27410634	27410736	1
chr3	27410641	27410999	1
chr3	27410646	27410864	1
chr3	27410655	27410708	3
chr3	27410655	27410738	1
chr3	27410655	27410961	1
chr3	27410655	27410974	1
chr3	27410655	27411007	3
chr3	27410656	27410919	1
chr3	27410658	27410932	2
chr3	27410663	27410937	1
chr3	27410664	27410980	2
chr3	27410664	27410994	2
chr3	27410664	27411075	2
chr3	27410665	27410692	1
chr3	27410665	27410932	2
chr3	27410665	27411004	2
chr3	27410669	27410703	1
chr3	27410669	27410922	1
chr3	27410669	27411067	2
chr3	27410671	27410725	1
chr3	27410679	27410909	2
chr3	27410681	27410782	5
chr3	27410682	27410907	1
chr3	27410682	27410937	1
chr3	27410682	27411057	4
chr3	27410684	27410997	3
chr3	27410685	27410720	1
chr3	27410686	27411014	4
chr3	27410687	27410720	1
chr3	27410690	27410922	1
chr3	27410690	27411036	1
chr3	27410692	27410734	1
chr3	27410692	27410759	2
chr3	27410692	27410922	1
chr3	27410692	27411050	2
chr3	27410694	27411127	1
chr3	27410695	27410937	1
chr3	27410696	27410927	1
chr3	27410698	27411057	2
chr3	27410699	27410927	4
chr3	27410703	27410736	1
chr3	27410703	27410755	1
chr3	27410703	27410899	2
chr3	27410703	27411007	3
chr3	27410706	27410740	1
chr3	27410706	27411007	3
chr3	27410706	27411096	2
chr3	27410708	27410736	2
chr3	27410708	27410922	1
chr3	27410708	27410950	3
chr3	27410708	27410965	2
chr3	27410708	27410997	1
chr3	27410708	27411007	1
chr3	27410708	27411019	3
chr3	27410708	27411052	4
chr3	27410708	27411110	2
chr3	27410710	27410736	1
chr3	27410710	27410888	1
chr3	27410710	27410965	3
chr3	27410710	27410970	1
chr3	27410710	27411026	2
chr3	27410718	27410912	2
chr3	27410718	27411057	1
chr3	27410720	27410766	2
chr3	27410720	27410774	4
chr3	27410720	27410915	1
chr3	27410720	27410997	2
chr3	27410720	27411039	3
chr3	27410721	27410917	1
chr3	27410723	27410919	7
chr3	27410723	27410932	2
chr3	27410723	27410997	5
chr3	27410723	27411048	2
chr3	27410723	27411057	2
chr3	27410723	27411079	1
chr3	27410725	27410910	2
chr3	27410725	27410927	1
chr3	27410725	27411007	3
chr3	27410727	27410973	1
chr3	27410729	27410926	3
chr3	27410729	27410927	2
chr3	27410733	27410774	2
chr3	27410733	27410969	2
chr3	27410733	27410992	1
chr3	27410733	27410999	3
chr3	27410734	27410909	2
chr3	27410734	27410932	4
chr3	27410734	27410937	1
chr3	27410734	27410941	2
chr3	27410734	27410958	2
chr3	27410734	27410960	5
chr3	27410734	27410992	3
chr3	27410734	27411017	1
chr3	27410736	27410979	6
chr3	27410736	27411002	3
chr3	27410736	27411007	5
chr3	27410736	27411027	2
chr3	27410736	27411044	1
chr3	27410740	27411010	3
chr3	27410746	27410777	2
chr3	27410746	27410997	8
chr3	27410746	27411057	2
chr3	27410748	27410927	5
chr3	27410751	27410942	3
chr3	27410752	27410983	1
chr3	27410755	27410917	2
chr3	27410755	27410997	3
chr3	27410755	27411074	1
chr3	27410759	27410916	3
chr3	27410759	27411002	4
chr3	27410759	27411074	2
chr3	27410760	27410997	1
chr3	27410765	27410922	1
chr3	27410766	27410965	2
chr3	27410767	27410939	1
chr3	27410769	27410937	4
chr3	27410774	27411009	1
chr3	27410777	27410937	2
chr3	27410777	27411068	1
chr3	27410779	27410937	1
chr3	27410779	27410994	1
chr3	27410780	27410838	2
chr3	27410780	27411020	1
chr3	27410785	27410992	4
chr3	27410787	27410927	2
chr3	27410787	27410979	1
chr3	27410787	27410994	1
chr3	27410788	27410994	3
chr3	27410788	27411092	2
chr3	27410793	27410997	2
chr3	27410794	27411017	1
chr3	27410796	27411079	1
chr3	27410806	27410852	3
chr3	27410806	27410932	3
chr3	27410806	27411007	4
chr3	27410811	27410843	2
chr3	27410811	27410860	4
chr3	27410826	27410917	1
chr3	27410826	27410974	2
chr3	27410833	27411074	3
chr3	27410838	27410877	2
chr3	27410838	27410920	1
chr3	27410838	27411068	1
chr3	27410838	27411113	1
chr3	27410842	27410992	1
chr3	27410843	27410910	1
chr3	27410843	27410932	5
chr3	27410852	27410997	2
chr3	27410853	27410877	3
chr3	27410853	27411007	1
chr3	27410856	27410904	4
chr3	27410858	27410932	1
chr3	27410858	27410997	1
chr3	27410859	27410909	3
chr3	27410859	27410922	1
chr3	27410859	27410964	2
chr3	27410859	27411007	1
chr3	27410860	27410932	1
chr3	27410860	27410942	5
chr3	27410860	27410974	1
chr3	27410860	27410991	1
chr3	27410860	27410992	6
chr3	27410860	27410997	1
chr3	27410860	27411007	2
chr3	27410861	27410910	4
chr3	27410862	27410944	1
chr3	27410868	27410922	1
chr3	27410873	27410951	3
chr3	27410875	27410922	1
chr3	27410875	27411007	1
chr3	27410877	27410912	2
chr3	27410877	27410914	4
chr3	27410877	27410997	2
chr3	27410877	27411007	3
chr3	27410877	27411010	2
chr3	27410877	27411122	1
chr3	27410880	27411026	4
chr3	27410882	27411017	1
chr3	27410885	27410992	2
chr3	27410885	27411085	1
chr3	27410887	27410922	1
chr3	27410887	27410965	5
chr3	27410887	27410992	3
chr3	27410889	27411074	1
chr3	27410899	27410959	1
chr3	27410899	27411004	1
chr3	27410904	27410992	1
chr3	27410904	27411007	1
chr3	27410904	27411094	1
chr3	27410905	27410932	3
chr3	27410905	27410965	3
chr3	27410905	27410992	3
chr3	27410905	27411007	2
chr3	27410905	27411028	1
chr3	27410905	27411057	2
chr3	27410906	27410944	3
chr3	27410907	27411058	2
chr3	27410908	27411047	1
chr3	27410908	27411072	1
chr3	27410909	27410943	2
chr3	27410909	27410958	1
chr3	27410909	27410966	1
chr3	27410909	27410992	1
chr3	27410909	27411002	1
chr3	27410909	27411007	1
chr3	27410909	27411047	3
chr3	27410909	27411067	6
chr3	27410909	27411068	3
chr3	27410910	27410997	2
chr3	27410910	27411050	1
chr3	27410912	27410973	1
chr3	27410912	27410975	1
chr3	27410912	27410989	3
chr3	27410912	27410992	6
chr3	27410912	27410997	5
chr3	27410912	27411007	5
chr3	27410912	27411009	1
chr3	27410912	27411032	1
chr3	27410912	27411054	3
chr3	27410914	27410979	3
chr3	27410915	27410979	2
chr3	27410915	27410992	2
chr3	27410915	27410994	1
chr3	27410915	27411074	1
chr3	27410915	27411098	1
chr3	27410916	27410964	1
chr3	27410916	27411004	1
chr3	27410916	27411007	3
chr3	27410917	27410937	1
chr3	27410917	27410955	1
chr3	27410917	27410966	1
chr3	27410917	27410974	5
chr3	27410917	27410975	6
chr3	27410917	27410992	5
chr3	27410917	27410997	1
chr3	27410917	27411002	1
chr3	27410917	27411044	13
chr3	27410917	27411094	1
chr3	27410917	27411113	1
chr3	27410917	27411141	2
chr3	27410919	27411007	2
chr3	27410919	27411074	4
chr3	27410920	27410977	2
chr3	27410920	27410994	4
chr3	27410920	27411007	5
chr3	27410920	27411017	1
chr3	27410920	27411031	1
chr3	27410920	27411050	1
chr3	27410920	27411055	2
chr3	27410921	27411068	2
chr3	27410922	27410948	1
chr3	27410922	27410952	1
chr3	27410922	27410964	1
chr3	27410922	27410965	5
chr3	27410922	27410968	1
chr3	27410922	27410969	1
chr3	27410922	27410974	3
chr3	27410922	27410975	5
chr3	27410922	27410979	2
chr3	27410922	27410981	5
chr3	27410922	27410984	1
chr3	27410922	27410992	5
chr3	27410922	27410997	4
chr3	27410922	27410999	2
chr3	27410922	27411004	3
chr3	27410922	27411007	5
chr3	27410922	27411017	4
chr3	27410922	27411019	2
chr3	27410922	27411021	6
chr3	27410922	27411033	2
chr3	27410922	27411035	3
chr3	27410922	27411042	1
chr3	27410922	27411048	1
chr3	27410922	27411050	7
chr3	27410922	27411067	2
chr3	27410922	27411069	3
chr3	27410922	27411075	1
chr3	27410922	27411091	2
chr3	27410922	27411102	2
chr3	27410922	27411127	4
chr3	27410924	27411079	2
